date,sal_logger1,temp_logger1,n_logger1,sal_logger3,temp_logger3,n_logger3,stage_ft,n_stage,sal_logger1_z,sal_logger3_z,temp_logger1_z,temp_logger3_z,stage_ft_z,temp_mean,temp_mean_z
8/5/2025,0.0975,31.563125,48,1.135416667,31.51770833,48,1.502421053,95,-0.353296491,-0.038570704,1.355858702,1.300489923,-0.262623824,31.54041667,1.328922966
8/6/2025,0.095625,31.14083333,48,0.672291667,31.57208333,48,1.503578947,95,-0.369686797,-0.349686883,1.290909125,1.30869478,-0.261723788,31.35645833,1.300878406
8/7/2025,0.09625,31.14625,48,0.406875,31.64979167,48,1.458,95,-0.364223361,-0.527987384,1.291742223,1.320420497,-0.297152446,31.39802083,1.307214635
8/8/2025,0.094583333,31.081875,48,0.388125,31.476875,48,1.413894737,95,-0.378792522,-0.540583181,1.281841178,1.29432842,-0.331435604,31.279375,1.289127005
8/9/2025,0.092916667,31.04645833,48,0.605208333,31.21,48,1.481684211,95,-0.393361683,-0.394751845,1.276394,1.254058602,-0.278742635,31.12822917,1.266084731
8/10/2025,0.094166667,30.800625,48,0.910416667,30.85083333,48,1.632,95,-0.382434813,-0.189720265,1.238584182,1.19986253,-0.161901704,30.82572917,1.219968421
8/11/2025,0.093958333,30.70145833,48,1.14375,30.73895833,48,1.705157895,95,-0.384255958,-0.032972572,1.223332086,1.182981271,-0.105035845,30.72020833,1.203881706
8/12/2025,0.090833333,30.62020833,48,1.721666667,30.6675,48,1.706947368,95,-0.411573135,0.355257875,1.210835621,1.172198642,-0.103644881,30.64385417,1.192241467
8/13/2025,0.090833333,30.47145833,48,1.989166667,30.27520833,48,2.048333333,54,-0.411573135,0.534957908,1.187957477,1.113004209,0.161715492,30.37333333,1.151000401
8/14/2025,0.090208333,30.18083333,48,1.187083333,30.60895833,48,1.556184211,76,-0.41703657,-0.003862286,1.143258582,1.16336506,-0.220833554,30.39489583,1.154287617
8/15/2025,0.090416667,30.06645833,48,0.805416667,30.80958333,48,1.642,95,-0.415215425,-0.260256726,1.125667404,1.193638155,-0.154128673,30.43802083,1.16086205
8/16/2025,0.09,30.30895833,48,0.4625,30.96354167,48,1.451684211,95,-0.418857715,-0.490619853,1.162964547,1.216869534,-0.302061729,30.63625,1.191082207
8/17/2025,0.091875,30.7725,48,0.331875,31.14958333,48,1.495473684,95,-0.402467409,-0.578370571,1.234258483,1.244942093,-0.268024035,30.96104167,1.240596894
8/18/2025,0.096666667,31.08541667,48,0.363958333,31.42458333,48,1.696947368,95,-0.360581071,-0.556817763,1.282385895,1.286437925,-0.111417913,31.255,1.285411022
8/19/2025,0.097708333,31.18520833,48,0.405625,31.61395833,48,1.631473684,95,-0.351475346,-0.528827104,1.297734118,1.315013464,-0.162310811,31.39958333,1.307452839
8/20/2025,0.099375,31.37104167,48,0.656666667,31.39354167,48,1.717789474,95,-0.336906185,-0.36018338,1.326315777,1.281753926,-0.095217279,31.38229167,1.304816714
8/21/2025,0.098333333,31.43666667,48,0.675,31.441875,48,1.765578947,95,-0.34601191,-0.34786749,1.336409076,1.289047133,-0.058070373,31.43927083,1.313503222
8/22/2025,0.09875,31.13875,48,0.547708333,31.30916667,48,1.651473684,95,-0.34236962,-0.433378955,1.290588703,1.26902225,-0.146764749,31.22395833,1.280678701
8/23/2025,0.09625,30.911875,48,0.368958333,31.29645833,48,1.741157895,95,-0.364223361,-0.553458884,1.255694727,1.26710464,-0.077052933,31.10416667,1.262416388
8/24/2025,0.100625,30.94875,48,0.348958333,31.43458333,48,1.722421053,95,-0.325979314,-0.5668944,1.2613662,1.287946864,-0.091617139,31.19166667,1.275755816
8/25/2025,0.099791667,31.06145833,48,0.37,31.423125,48,1.564315789,95,-0.333263894,-0.552759117,1.27870104,1.286217871,-0.214512852,31.24229167,1.283473628
8/26/2025,0.099583333,30.92666667,48,0.720416667,31.43833333,48,1.334421053,95,-0.335085039,-0.317357672,1.257969725,1.288512717,-0.393210747,31.1825,1.274358352
8/27/2025,0.097916667,30.71041667,48,1.259791667,31.23333333,48,1.273157895,95,-0.3496542,0.044981415,1.224709902,1.25757946,-0.44083079,30.971875,1.242248443
8/28/2025,0.096666667,30.516875,48,1.978125,31.158125,48,1.451052632,95,-0.360581071,0.527540384,1.194942681,1.246230979,-0.302552657,30.8375,1.221762892
8/29/2025,0.092291667,29.99145833,48,2.095,30.78583333,48,1.495368421,95,-0.398825119,0.606054183,1.114132205,1.190054424,-0.268105856,30.38864583,1.153334801
8/30/2025,0.090208333,29.28708333,48,1.907916667,30.50020833,48,1.685157895,95,-0.41703657,0.480376122,1.005797464,1.146955344,-0.120581907,29.89364583,1.077871749
8/31/2025,0.09,29.06520833,48,1.501458333,30.35166667,48,1.490421053,95,-0.418857715,0.20732724,0.971672502,1.124541308,-0.271951461,29.7084375,1.049636626
9/1/2025,0.090208333,29.17229167,48,1.953958333,30.21770833,48,1.603368421,95,-0.41703657,0.511305801,0.988142202,1.104327808,-0.18415712,29.695,1.047588071
9/2/2025,0.09125,29.26854167,48,2.334791667,30.00083333,48,1.616421053,95,-0.407930844,0.767140428,1.002945707,1.071602686,-0.174011269,29.6346875,1.038393393
9/3/2025,0.093541667,29.159375,48,2.265208333,29.91166667,48,1.533789474,95,-0.387898248,0.720396027,0.986155584,1.058147977,-0.238241052,29.53552083,1.023275374
9/4/2025,0.091875,29.20729167,48,2.298333333,29.92645833,48,1.639789474,95,-0.402467409,0.742648601,0.993525295,1.060379949,-0.155846922,29.566875,1.028055336
9/5/2025,0.093958333,29.26541667,48,2.113541667,29.93958333,48,1.606526316,95,-0.384255958,0.618510027,1.002465074,1.062360432,-0.181702478,29.6025,1.033486389
9/6/2025,0.098125,29.39604167,48,1.862708333,29.93666667,48,1.573473684,95,-0.347833055,0.450006257,1.022555545,1.061920325,-0.207394392,29.66635417,1.043220996
9/7/2025,0.095625,29.32895833,48,1.421458333,29.77333333,48,1.048,95,-0.369686797,0.153585174,1.01223795,1.037274316,-0.615846723,29.55114583,1.025657415
9/8/2025,0.0916,28.924,25,1.917083333,29.22166667,48,0.961157895,95,-0.40487132,0.486534068,0.949954286,0.954031162,-0.683349361,29.07283333,0.952738383
9/15/2025,0.076,33.3725,20,3.713076923,29.66846154,13,1.467368421,95,-0.541238667,1.693039146,1.634145371,1.021449798,-0.289870343,31.52048077,1.325883727
9/16/2025,0.1075,29.64583333,48,5.126875,29.53916667,48,1.454315789,95,-0.265881525,2.642794518,1.060974165,1.001939986,-0.300016194,29.5925,1.031961883
9/17/2025,0.10875,30.05854167,48,4.859375,29.46729167,48,1.526526316,95,-0.254954654,2.463094484,1.1244498,0.991094484,-0.243886727,29.76291667,1.057942008
